,value,type,band
462,445,Vegetation,B4
463,430,Vegetation,B4
464,421,Vegetation,B4
465,480,Vegetation,B4
466,448,Vegetation,B4
467,473,Vegetation,B4
468,445,Vegetation,B4
469,458,Vegetation,B4
470,523,Vegetation,B4
471,663,Vegetation,B4
472,474,Vegetation,B4
473,460,Vegetation,B4
474,519,Vegetation,B4
475,491,Vegetation,B4
476,582,Vegetation,B4
477,530,Vegetation,B4
478,5574,Barren,B5
479,3790,Barren,B5
480,3650,Barren,B5
481,3614,Barren,B5
482,3642,Barren,B5
483,3352,Barren,B5
484,3625,Barren,B5
485,4022,Barren,B5
486,3370,Barren,B5
487,3955,Barren,B5
488,3816,Barren,B5
489,3645,Barren,B5
490,3651,Barren,B5
491,3872,Barren,B5
492,4183,Barren,B5
493,3764,Barren,B5
494,3881,Barren,B5
495,4049,Barren,B5
496,4012,Barren,B5
497,3931,Barren,B5
498,4205,Barren,B5
499,3894,Barren,B5
500,3813,Barren,B5
501,3920,Barren,B5
502,3810,Barren,B5
503,4051,Barren,B5
504,4048,Barren,B5
505,4315,Barren,B5
506,4026,Barren,B5
507,3196,Barren,B5
508,4240,Barren,B5
509,4422,Barren,B5
510,4902,Barren,B5
511,3690,Barren,B5
512,4515,Barren,B5
513,4516,Barren,B5
514,4194,Barren,B5
515,5206,Barren,B5
516,3998,Marked,B5
517,2577,Marked,B5
518,1794,Marked,B5
519,2175,Marked,B5
520,1435,Marked,B5
521,1455,Marked,B5
522,2372,Marked,B5
523,1648,Marked,B5
524,1950,Marked,B5
525,2229,Marked,B5
526,2010,Marked,B5
527,1974,Marked,B5
528,1689,Marked,B5
529,634,Marked,B5
530,1338,Marked,B5
531,1921,Marked,B5
532,2826,Marked,B5
533,1336,Marked,B5
534,1966,Marked,B5
535,1794,Marked,B5
536,2616,Marked,B5
537,2205,Marked,B5
538,2008,Marked,B5
539,1240,Marked,B5
540,1438,Marked,B5
541,1732,Unmarked,B5
542,1533,Unmarked,B5
543,1875,Unmarked,B5
544,1910,Unmarked,B5
545,1872,Unmarked,B5
546,1863,Unmarked,B5
547,1994,Unmarked,B5
548,2079,Unmarked,B5
549,2354,Unmarked,B5
550,1989,Unmarked,B5
551,2261,Unmarked,B5
552,1986,Unmarked,B5
553,1539,Unmarked,B5
554,2037,Unmarked,B5
555,1835,Unmarked,B5
556,1773,Unmarked,B5
557,1886,Unmarked,B5
558,1653,Unmarked,B5
559,1865,Unmarked,B5
560,1815,Unmarked,B5
561,2073,Unmarked,B5
562,1991,Unmarked,B5
563,2067,Unmarked,B5
564,1614,Unmarked,B5
565,1881,Unmarked,B5
566,2356,Unmarked,B5
567,2324,Unmarked,B5
568,1998,Unmarked,B5
569,1792,Unmarked,B5
570,2015,Unmarked,B5
571,1708,Unmarked,B5
572,2073,Unmarked,B5
573,1682,Unmarked,B5
574,1838,Unmarked,B5
575,2642,Unmarked,B5
576,2785,Unmarked,B5
577,1865,Unmarked,B5
578,1901,Unmarked,B5
579,2003,Unmarked,B5
580,1872,Unmarked,B5
581,1880,Unmarked,B5
582,2266,Unmarked,B5
583,1701,Unmarked,B5
584,1712,Unmarked,B5
585,2052,Unmarked,B5
586,1670,Unmarked,B5
587,1879,Unmarked,B5
588,2020,Unmarked,B5
589,1929,Unmarked,B5
590,1815,Unmarked,B5
591,1853,Unmarked,B5
592,1671,Unmarked,B5
593,1795,Unmarked,B5
594,1994,Unmarked,B5
595,2039,Unmarked,B5
596,1631,Vegetation,B5
597,4624,Vegetation,B5
598,2704,Vegetation,B5
599,3040,Vegetation,B5
600,2857,Vegetation,B5
601,2779,Vegetation,B5
602,2876,Vegetation,B5
603,2640,Vegetation,B5
604,3919,Vegetation,B5
605,4035,Vegetation,B5
606,3456,Vegetation,B5
607,3223,Vegetation,B5
608,4361,Vegetation,B5
609,2801,Vegetation,B5
610,2812,Vegetation,B5
611,3814,Vegetation,B5
612,3276,Vegetation,B5
613,4591,Vegetation,B5
614,2738,Vegetation,B5
615,2591,Vegetation,B5
616,1923,Vegetation,B5
617,3882,Vegetation,B5
618,2719,Vegetation,B5
619,2912,Vegetation,B5
620,4430,Vegetation,B5
621,4657,Vegetation,B5
622,3489,Vegetation,B5
623,3470,Vegetation,B5
624,4185,Vegetation,B5
625,4174,Vegetation,B5
626,4049,Vegetation,B5
627,3497,Vegetation,B5
628,3858,Vegetation,B5
629,3513,Vegetation,B5
630,3357,Vegetation,B5
631,3368,Vegetation,B5
632,4330,Vegetation,B5
633,4091,Vegetation,B5
634,4066,Vegetation,B5
635,3511,Vegetation,B5
636,3956,Vegetation,B5
637,6552,Barren,B6
638,4610,Barren,B6
639,4499,Barren,B6
640,4190,Barren,B6
641,4295,Barren,B6
